Project	Issue	Commit	TypeChecker	Detectable	Comment	AnnotationTime
51114u9/osm-dark-theme	1	null	TypeScript	Undetectable	EIS:  Change color choices to improve readability.	34
CounterpartyXCP/counterwallet	705	08e879102694ab071495aa6a89ac92e61e72ae00	TypeScript	Undetectable	Missing/Incorrect/Wrong Predicate.	53
DevExpress/testcafe	133	88b3f610e2bf4b954c456fa39f65b9bc146906ba	TypeScript	Undetectable	EIS	44
Gozala/eased	1	a45190c68ca851a1266747c099e2cc886028eec5	Flow	Undetectable	Syntax Error:  The buggy code used ^ instead of Math.pow.	49
Gozala/narwhal-xulrunner	5	b9734c1884ce5f7df8bcc3ea7b2cc15be1a8239a	TypeScript	Unknown	The reported error is a type error:  a variable that the developer expected would be a function isn't in some case.  That said, I can't see how to annotate or restructure the code so that TypeScript could detect it.  I simply don't follow the code in io-engine.js.	204
amber-smalltalk/helios	66	280e38493882046fd155ded41894d3460c6b8f97	Flow	Undetectable	EIS.	48
beefsack/node-hound	3	c6f13b31808b5f0be2dc63946c7fd25841a387e4	Flow	Undetectable	Other:  Fix triggered by API change.	69
bigbam505/finalbuilder-client	7	2150880c0ac640c3d6378f3f79558f76c2939ff8	TypeScript	Undetectable	malfunction/specification error.	105
boundlessgeo/GeoExplorer	15	0675c0f759e049ee34f9fce6571731dddeda797e	TypeScript	Undetectable	Syntax Error	18
buildo/react-components	241	618ec12cc2adc18a1011e11b7adaa663d6724c18	Flow	Undetectable	EIS:  correct behavior by changing variables used in a conditional.	43
bustlelabs/ember-restless	15	0349460b3a9b877f46f440acd93c573d4ff4edcb	Flow	Undetectable	EIS:  incorrect function call order relative to intended behaviour.	47
capaj/systemjs-hot-reloader	15	37ed4bdb083cba297ed08a5b675f18b437ebf0c6	TypeScript	Undetectable	Missing Branch/EIS:  Fix failure to detect cycles in a data structure.	123
courtc/jikp	2	5fb2052b6437a43224a44041ccfec7782a8d2eb3	TypeScript	Undetectable	EIS:  Even if you defined a new type with the new hit range, it would not have prevented this issue, because, in that case the error would have manifested itself as choosing the wrong type.	114
deplicator/xkcdTime_atyourownpace	47	b7698ef7b6f040040534f342b5c40aaea82a84ef	TypeScript	Undetectable	This bug is a kind of range error.  The lowerbound could be enforced by a type system of the expressivity of Flow or TypeScript at the cost of adding operators to manipulate this type that prevent the lowerbound from being bound to a negative value.  The upperbound, however, is dynamic and would require a dependent type system to express.	87
djaodjin/djaodjin-annotate	32	671c6bc597b9cd965e1597756d392bc3cb2941f8	Flow	Unknown	The failure to correctly destroy has created an illegitimate program state that subsequently causes a type error upon trying to access the path property of some unspecified variable.  The bug report does not specify which variable or where.  Thus, I cannot determine where to add type annotations.	233
englercj/lumber	3	7d395559eaadff5599789b51309b9b8d433c0c6e	Flow	Undetectable	Missing branch.	29
eprochasson/meteor-bootstrap-themes	2	0403058f2354c913d22b68f12db3c7bb7724c28d	TypeScript	Undetectable	Other:  Cross Browser compability issue.	66
