Project	Issue	Commit	TypeChecker	Detectable	Comment	AnnotationTime
2gis/slot	220	82cf940a8a3724d84f72b8988f6c6ba45634353f	TypeScript	Undetectable	Parsing error. Wrongly include unnecessary js files for testing.	66
CodeFellows-JSJAKZ/along-the-way	47	6a1ac99bc0d2883090e3fe19056e1b7d88cb208c	Flow	Undetectable	Missing a predicate. Wrongly create multiple unnecessary infowindows due to a missing check on whether infowindow already exists. 	32
DDMAL/salzinnes-original	46	daa3c87a6e73a4f1f7be76b787c33efe2eb07034	TypeScript	Undetectable	UI error. Forgot to resize the inner element when resizing the page.	34
DeuxHuitHuit/jQuery-one-liner	1	b95235af155e9727509a81e80f00561ff48310eb	TypeScript	Undetectable	Range error. These two type systems need more fine-grained type annotations.	14
ElteHupkes/ember-query-params	6	d40f7dcdea50fe3df2f534cfe23a7d42a56084b5	Flow	Undetectable	API change. An upgrade of RC7 broke the functionality of updating urls.	111
FinchPowers/chrome-github-navigator-extension	5	fac28ac67a8d52a408d50602c32223ea6bb11987	Flow	Undetectable	Missing branches / Wrong predicates. Wrongly implement the functionality of icon toggling.	73
Thanood/aurelia-mdl-skeleton-navigation	1	4d68db531556e335ad866b2d7d7ff3b5618213b6	Flow	Detectable	Add annotation to indicate that btn can be null/undefined.	233
Thanood/aurelia-mdl-skeleton-navigation	1	4d68db531556e335ad866b2d7d7ff3b5618213b6	TypeScript	Undetectable	Noull/undefined handling. TypeScript does not support non-nullable type annotations.	638
airmanopus/weatherCheck	125	8044ba885a52237fcad6be18452aa8f560924fab	TypeScript	Undetectable	String errors. Wrong string value for a property.	37
alonsovb/Audits	14	005185f0a2620bb5fd0c9b968b80dc1d2074f7aa	TypeScript	Undetectable	EIS. Forgot to save the comment when clicking complete.	95
arrowrowe/es6-playground	2	bbd97ca21e9ad0075a92b6d04ab3250a4f1535d4	Flow	Detectable	Flow understands require and is able to detect the bug that some module does not exist because of an error in the path.	31
arrowrowe/es6-playground	2	bbd97ca21e9ad0075a92b6d04ab3250a4f1535d4	TypeScript	Undetectable	String errors. TypeScript does not support require mechanism.	122
aturley/gistblog	11	2ec68b7756bb0a8b91aaa9693e05ead23f8afc85	TypeScript	Undetectable	String errors. Failed to construct a correct hyperlink element to the single-post display.	14
braintree/card-validator	20	b20ac92d7bf4234b4692d275f053a6622e8cdfe4	TypeScript	Undetectable	EIS. Confusion between 'valid' and 'potentially valid'.	107
caolan/pithy	2	8e8b63581f243bb6a7c4b8325eb59fe42afa9e47	Flow	Undetectable	EIS. Flow cannot automatically find that class is a reserved keyword.	73
caolan/pithy	2	8e8b63581f243bb6a7c4b8325eb59fe42afa9e47	TypeScript	Undetectable	EIS. At a first glance, TypeScript simply reports an error on this line. However, the error TypeScript reports is irrelevant with the bug that class is reserved keyword. TypeScript's interpretation of {} is different fromthat of JavaScript	142
cerebral/cerebral-view-react	36	15151fb9752842535daa67634e80496fe7d9ecc7	Flow	Undetectable	EIS. These programs are not updated with changes in other programs. Specifically, the arity of function decorator needs to be changed. Without a call of decorator, this bug is undetectable.  	142
cheeaun/node-hnapi	15	061599fa71fe5b92478e0e48cacea8a7e9ce1a57	Flow	Undetectable	EIS. Wrong initialisation.	132
dfahlander/Dexie.js	173	c44ec6af407ba26fdd795db10a922fd125c0d55a	TypeScript	Undetectable	Synchronization error. The fix exceeds my JS knowledge, but this bug is not related to types.	70
digital-dreamer/twister-proxy	4	4965413ce5661aae8566769eec6ab7390bd99e1a	TypeScript	Undetectable	EIS. Missing an authenticatioin header in messages in HTML.	18
duenni/beermap	16	88d5bc0f442db53f03b75e5ccd14bd7d15d4e571	Flow	Undetectable	EIS. Confusion between i and j, two loop indexes.	101
emberjs/data	3944	e1007db415041ef6a9831b731c9f458d11d2ae4f	Flow	Undetectable	EIS. Forgot to create a file that a third party library requires.	47
flams/synchronous-fsm	1	2d4c0e489d98711730c49d6b2b0b6d3196120c98	Flow	Detectable	I could not find any documents on the function loop(). However, based on the bug report, I know that the first parameter cannot be undefined. Therefore, I construct my own interface declaration and detects this bug.	763
flams/synchronous-fsm	1	2d4c0e489d98711730c49d6b2b0b6d3196120c98	TypeScript	Undetectable	Null handling. TypeScript does not support non-nullable type annotation.	42
frankko/UtilityBelt	4	f61e21df92a59cb470d0e8723a9ee2a1ee1b638e	Flow	Undetectable	Missing a branch. Forgot to handle a case where the plugin should work for creating guides	37
gomita/verticaltoolbar	31	3c608cdbda50bec73443b1e22b15572aae363fa4	TypeScript	Undetectable	EIS. Forgot to properly start and finish the customisation of the bookmark toolbar.	27
jonatkins/ingress-intel-total-conversion	529	c68021609bb8bc3c65788477fd9698fff9d0355f	Flow	Detectable	Able to detect that isSameResonator has not been declared yet.	78
jonatkins/ingress-intel-total-conversion	529	c68021609bb8bc3c65788477fd9698fff9d0355f	TypeScript	Detectable	Need to comment two strange lines.	536
