issue	typechecker	Zheng	Earl	Chris
moelders/simple-async#10	Flow	Undetectable	Undetectable	Undetectable
moelders/simple-async#10	TypeScript	Undetectable	Undetectable	Undetectable
aturley/gistblog#11	Flow	Undetectable	Undetectable	Undetectable
aturley/gistblog#11	TypeScript	Undetectable	Undetectable	Undetectable
DevExpress/testcafe#133	Flow	Undetectable	Undetectable	Undetectable
DevExpress/testcafe#133	TypeScript	Undetectable	Undetectable	Undetectable
ng2/auth#8	Flow	Detectable	Detectable	Unknown
ng2/auth#8	TypeScript	Unknown	Detectable	Unknown
capaj/systemjs-hot-reloader#15	Flow	Undetectable	Undetectable	Unknown
capaj/systemjs-hot-reloader#15	TypeScript	Undetectable	Undetectable	Unknown
CounterpartyXCP/counterwallet#705	Flow	Undetectable	Undetectable	Undetectable
CounterpartyXCP/counterwallet#705	TypeScript	Undetectable	Undetectable	Undetectable
pretenderjs/pretender#94	Flow	Undetectable	Undetectable	Undetectable
pretenderjs/pretender#94	TypeScript	Undetectable	Undetectable	Undetectable
richwidgets/richwidgets#81	Flow	Undetectable	Undetectable	Undetectable
richwidgets/richwidgets#81	TypeScript	Undetectable	Undetectable	Undetectable
duenni/beermap#16	Flow	Undetectable	Undetectable	Undetectable
duenni/beermap#16	TypeScript	Undetectable	Undetectable	Undetectable
wooorm/parse-latin#5	Flow	Undetectable	Undetectable	Undetectable
wooorm/parse-latin#5	TypeScript	Undetectable	Undetectable	Undetectable
DDMAL/salzinnes-original#46	Flow	Undetectable	Undetectable	Undetectable
DDMAL/salzinnes-original#46	TypeScript	Undetectable	Undetectable	Undetectable
protometa/convert-metric#1	Flow	Undetectable	Undetectable	Undetectable
protometa/convert-metric#1	TypeScript	Undetectable	Undetectable	Undetectable
seedstack/w20#20	Flow	Undetectable	Undetectable	Undetectable
seedstack/w20#20	TypeScript	Undetectable	Undetectable	Undetectable
jsoverson/JavaScript-Particle-System#1	Flow	Undetectable	Undetectable	Undetectable
jsoverson/JavaScript-Particle-System#1	TypeScript	Undetectable	Undetectable	Undetectable
jfredrickson/minesweeper#1	Flow	Undetectable	Undetectable	Undetectable
jfredrickson/minesweeper#1	TypeScript	Undetectable	Undetectable	Undetectable
51114u9/osm-dark-theme#1	Flow	Undetectable	Undetectable	Undetectable
51114u9/osm-dark-theme#1	TypeScript	Undetectable	Undetectable	Undetectable
beefsack/node-hound#3	Flow	Detectable	Undetectable	Detectable
beefsack/node-hound#3	TypeScript	Detectable	Undetectable	Detectable
englercj/lumber#3	Flow	Undetectable	Undetectable	Undetectable
englercj/lumber#3	TypeScript	Undetectable	Undetectable	Undetectable
mnutt/hummingbird#4	Flow	Detectable	Detectable	Detectable
mnutt/hummingbird#4	TypeScript	Detectable	Unknown	Detectable
hillar/pigsty-moloch-plugin#3	Flow	Undetectable	Undetectable	Undetectable
hillar/pigsty-moloch-plugin#3	TypeScript	Undetectable	Undetectable	Undetectable
nazomikan/require-without-cache#1	Flow	Undetectable	Undetectable	Detectable
nazomikan/require-without-cache#1	TypeScript	Undetectable	Undetectable	Unknown
arrowrowe/es6-playground#2	Flow	Detectable	Undetectable	Undetectable
arrowrowe/es6-playground#2	TypeScript	Undetectable	Undetectable	Undetectable
cerebral/cerebral-view-react#36	Flow	Undetectable	NotFound	Undetectable
cerebral/cerebral-view-react#36	TypeScript	Undetectable	NotFound	Undetectable
ui-alchemy/alchemy#4	Flow	Undetectable	Undetectable	Undetectable
ui-alchemy/alchemy#4	TypeScript	Undetectable	Undetectable	Undetectable
frankko/UtilityBelt#4	Flow	Undetectable	Undetectable	Unknown
frankko/UtilityBelt#4	TypeScript	Undetectable	Undetectable	Unknown
justojs/justo-result#3	Flow	Undetectable	NotFound	Undetectable
justojs/justo-result#3	TypeScript	Undetectable	NotFound	Undetectable
moshen/node-googlemaps#60	Flow	Undetectable	Undetectable	Undetectable
moshen/node-googlemaps#60	TypeScript	Undetectable	Undetectable	Undetectable
mafintosh/hyperdrive#2	Flow	Detectable	Detectable	Undetectable
mafintosh/hyperdrive#2	TypeScript	Undetectable	Unknown	Undetectable
mozilla/browserid-crypto#16	Flow	Undetectable	Undetectable	Undetectable
mozilla/browserid-crypto#16	TypeScript	Undetectable	Undetectable	Undetectable
buildo/react-components#241	Flow	Undetectable	Undetectable	Undetectable
buildo/react-components#241	TypeScript	Undetectable	Undetectable	Undetectable
onedr0p/telegram-sonarr-bot#31	Flow	Undetectable	NotFound	Undetectable
onedr0p/telegram-sonarr-bot#31	TypeScript	Undetectable	NotFound	Undetectable
courtc/jikp#2	Flow	Undetectable	Undetectable	Undetectable
courtc/jikp#2	TypeScript	Undetectable	Undetectable	Undetectable
villadora/express-bunyan-logger#13	Flow	Undetectable	Undetectable	Undetectable
villadora/express-bunyan-logger#13	TypeScript	Undetectable	Undetectable	Undetectable
caolan/pithy#2	Flow	Undetectable	Undetectable	Undetectable
caolan/pithy#2	TypeScript	Undetectable	Detectable	Undetectable
bigbam505/finalbuilder-client#7	Flow	Undetectable	Undetectable	Undetectable
bigbam505/finalbuilder-client#7	TypeScript	Undetectable	Undetectable	Undetectable
nationalparkservice/places-api#9	Flow	Undetectable	Unknown	Undetectable
nationalparkservice/places-api#9	TypeScript	Undetectable	Unknown	Undetectable
eprochasson/meteor-bootstrap-themes#2	Flow	Undetectable	Undetectable	Undetectable
eprochasson/meteor-bootstrap-themes#2	TypeScript	Undetectable	Undetectable	Undetectable
djaodjin/djaodjin-annotate#32	Flow	Unknown	Unknown	Undetectable
djaodjin/djaodjin-annotate#32	TypeScript	Undetectable	Unknown	Undetectable
DeuxHuitHuit/jQuery-one-liner#1	Flow	Undetectable	Undetectable	Undetectable
DeuxHuitHuit/jQuery-one-liner#1	TypeScript	Undetectable	Undetectable	Undetectable
rgrp/chrome-csv-viewer#2	Flow	Undetectable	Undetectable	Undetectable
rgrp/chrome-csv-viewer#2	TypeScript	Undetectable	Undetectable	Undetectable
braintree/card-validator#20	Flow	Undetectable	Undetectable	Undetectable
braintree/card-validator#20	TypeScript	Undetectable	Undetectable	Undetectable
sindresorhus/atom-autoprefixer#11	Flow	Undetectable	Undetectable	Undetectable
sindresorhus/atom-autoprefixer#11	TypeScript	Undetectable	Undetectable	Undetectable
yasp-dota/yasp#862	Flow	Undetectable	Undetectable	Undetectable
yasp-dota/yasp#862	TypeScript	Undetectable	Undetectable	Undetectable
sindresorhus/os-locale#1	Flow	Unknown	Undetectable	Undetectable
sindresorhus/os-locale#1	TypeScript	Undetectable	Undetectable	Undetectable
flams/synchronous-fsm#1	Flow	Detectable	Undetectable	Undetectable
flams/synchronous-fsm#1	TypeScript	Undetectable	Undetectable	Undetectable
robwhitaker/Compiler#3	Flow	Undetectable	Undetectable	Undetectable
robwhitaker/Compiler#3	TypeScript	Undetectable	Undetectable	Undetectable
FinchPowers/chrome-github-navigator-extension#5	Flow	Undetectable	Undetectable	Undetectable
FinchPowers/chrome-github-navigator-extension#5	TypeScript	Undetectable	Undetectable	Undetectable
alonsovb/Audits#14	Flow	Undetectable	Undetectable	Undetectable
alonsovb/Audits#14	TypeScript	Undetectable	Undetectable	Undetectable
bustlelabs/ember-restless#15	Flow	Undetectable	Undetectable	Undetectable
bustlelabs/ember-restless#15	TypeScript	Undetectable	Undetectable	Undetectable
dfahlander/Dexie.js#173	Flow	Undetectable	Undetectable	Undetectable
dfahlander/Dexie.js#173	TypeScript	Undetectable	Undetectable	Undetectable
ElteHupkes/ember-query-params#6	Flow	Undetectable	Undetectable	Undetectable
ElteHupkes/ember-query-params#6	TypeScript	Undetectable	Undetectable	Undetectable
gomita/verticaltoolbar#31	Flow	Undetectable	Undetectable	Undetectable
gomita/verticaltoolbar#31	TypeScript	Undetectable	Undetectable	Undetectable
cheeaun/node-hnapi#15	Flow	Undetectable	Undetectable	Undetectable
cheeaun/node-hnapi#15	TypeScript	Undetectable	Undetectable	Undetectable
Gozala/narwhal-xulrunner#5	Flow	Detectable	Unknown	Detectable
Gozala/narwhal-xulrunner#5	TypeScript	Detectable	Unknown	Detectable
p-j/meteor-gravatar#3	Flow	Undetectable	Undetectable	Undetectable
p-j/meteor-gravatar#3	TypeScript	Undetectable	Undetectable	Undetectable
boundlessgeo/GeoExplorer#15	Flow	Undetectable	Undetectable	Undetectable
boundlessgeo/GeoExplorer#15	TypeScript	Undetectable	Undetectable	Undetectable
Gozala/eased#1	Flow	Undetectable	Undetectable	Undetectable
Gozala/eased#1	TypeScript	Undetectable	Undetectable	Undetectable
sandeepmistry/node-core-bluetooth#1	Flow	Undetectable	Unknown	Detectable
sandeepmistry/node-core-bluetooth#1	TypeScript	Detectable	Unknown	Detectable
jerel/ember-cli-clock#2	Flow	Undetectable	Undetectable	Detectable
jerel/ember-cli-clock#2	TypeScript	Undetectable	Undetectable	Detectable
smo-key/trello2latex#21	Flow	Detectable	Detectable	Undetectable
smo-key/trello2latex#21	TypeScript	Detectable	Undetectable	Undetectable
CodeFellows-JSJAKZ/along-the-way#47	Flow	Undetectable	Undetectable	Undetectable
CodeFellows-JSJAKZ/along-the-way#47	TypeScript	Undetectable	Undetectable	Undetectable
es-analysis/plato#6	Flow	Detectable	Detectable	Undetectable
es-analysis/plato#6	TypeScript	Undetectable	Undetectable	Undetectable
royriojas/persistify#2	Flow	Undetectable	Undetectable	Undetectable
royriojas/persistify#2	TypeScript	Undetectable	Undetectable	Undetectable
matthewp/keys#1	Flow	Undetectable	Undetectable	Undetectable
